itemID,item,item_type,category,choices,definition,gloss
item_530,cansado,word,descriptive_words,produces,cansado,cansado
item_531,chico,word,descriptive_words,produces,chico/chiquito,chico/chiquito
item_532,despiert,word,descriptive_words,produces,despierto,despierto
item_533,difernte,word,descriptive_words,produces,diferente/distinto,diferente/distinto
item_534,dificil,word,descriptive_words,produces,difícil,difícil
item_535,duro,word,descriptive_words,produces,duro,duro
item_536,enfermo,word,descriptive_words,produces,enfermo,enfermo
item_537,enojado,word,descriptive_words,produces,enojado,enojado
item_538,feliz,word,descriptive_words,produces,feliz,feliz
item_539,feo,word,descriptive_words,produces,feo,feo
item_540,frio,word,descriptive_words,produces,frío,frío
item_541,fuerte,word,descriptive_words,produces,fuerte,fuerte
item_542,gordo,word,descriptive_words,produces,gordo,gordo
item_543,grande,word,descriptive_words,produces,grande,grande
item_544,hambre,word,descriptive_words,produces,hambre,hambre
item_545,igual,word,descriptive_words,produces,igual,igual
item_546,largo,word,descriptive_words,produces,largo,largo
item_547,lento,word,descriptive_words,produces,lento,lento
item_548,limpio,word,descriptive_words,produces,limpio,limpio
item_549,lindo,word,descriptive_words,produces,lindo,lindo
item_550,loco,word,descriptive_words,produces,loco,loco
item_551,lleno,word,descriptive_words,produces,lleno,lleno
item_552,malo,word,descriptive_words,produces,malo,malo
item_553,mejor,word,descriptive_words,produces,mejor,mejor
item_554,mentiroso,word,descriptive_words,produces,mentiroso,mentiroso
item_555,miedsust,word,descriptive_words,produces,miedo/susto,miedo/susto
item_556,mojado,word,descriptive_words,produces,mojado,mojado
item_557,mugriento,word,descriptive_words,produces,mugriento,mugriento
item_558,negro,word,descriptive_words,produces,negro,negro
item_559,nuevo,word,descriptive_words,produces,nuevo,nuevo
item_560,oscuro,word,descriptive_words,produces,oscuro,oscuro
item_561,pelgrso,word,descriptive_words,produces,peligroso,peligroso
item_562,pesado,word,descriptive_words,produces,pesado,pesado
item_563,pobre,word,descriptive_words,produces,pobre,pobre
item_564,primero,word,descriptive_words,produces,primero,primero
item_565,rapido1,word,descriptive_words,produces,rápido,rápido
item_566,rico,word,descriptive_words,produces,rico,rico
item_567,rojo,word,descriptive_words,produces,rojo,rojo
item_568,rosa,word,descriptive_words,produces,rosa,rosa
item_569,roto,word,descriptive_words,produces,roto,roto
item_570,ruidoso,word,descriptive_words,produces,ruidoso,ruidoso
item_571,seco,word,descriptive_words,produces,seco,seco
item_572,solo,word,descriptive_words,produces,solo,solo
item_573,suave,word,descriptive_words,produces,suave,suave
item_574,sucio,word,descriptive_words,produces,sucio,sucio
item_575,tonto,word,descriptive_words,produces,tonto/bobo,tonto/bobo
item_576,tranquil,word,descriptive_words,produces,tranquilo,tranquilo
item_577,triste,word,descriptive_words,produces,triste,triste
item_578,ultimo,word,descriptive_words,produces,último,último
item_579,vacio,word,descriptive_words,produces,vacío,vacío
item_580,verde,word,descriptive_words,produces,verde,verde
item_581,viejo,word,descriptive_words,produces,viejo,viejo
item_582,violeta,word,descriptive_words,produces,violeta,violeta
item_583,alamañana,word,time_words,produces,a la mañana,a la mañana
item_584,alanoche,word,time_words,produces,a la noche,a la noche
item_585,a la tarde,word,time_words,produces,a la tarde,a la tarde
item_586,ahora,word,time_words,produces,ahora,ahora
item_587,años,word,time_words,produces,años,años
item_588,ayer,word,time_words,produces,ayer,ayer
item_589,despues,word,time_words,produces,después,después
item_590,dia,word,time_words,produces,día,día
item_591,hoy,word,time_words,produces,hoy,hoy
item_592,mañana,word,time_words,produces,mañana,mañana
item_593,noche,word,time_words,produces,noche,noche
item_594,aquel,word,pronouns,produces,aquel,aquel
item_595,aquelos,word,pronouns,produces,aquellos,aquellos
item_596,aquela,word,pronouns,produces,aquella,aquella
item_597,aquelas,word,pronouns,produces,aquellas,aquellas
item_598,el1,word,pronouns,produces,él,él
item_599,ellos,word,pronouns,produces,ellos,ellos
item_600,ella,word,pronouns,produces,ella,ella
item_601,ellas,word,pronouns,produces,ellas,ellas
item_602,esa,word,pronouns,produces,esa,esa
item_603,esas,word,pronouns,produces,esas,esas
item_604,ese,word,pronouns,produces,ese,ese
item_605,eso,word,pronouns,produces,eso,eso
item_606,esos,word,pronouns,produces,esos,esos
item_607,esta,word,pronouns,produces,ésta,ésta
item_608,estas,word,pronouns,produces,éstas,éstas
item_609,este,word,pronouns,produces,éste,éste
item_610,esto,word,pronouns,produces,esto,esto
item_611,estos,word,pronouns,produces,éstos,éstos
item_612,prole,word,pronouns,produces,le,le
item_613,les,word,pronouns,produces,les,les
item_614,lo,word,pronouns,produces,lo,lo
item_615,me,word,pronouns,produces,me,me
item_616,mi,word,pronouns,produces,mi,mi
item_617,mia,word,pronouns,produces,mía,mía
item_618,mias,word,pronouns,produces,mías,mías
item_619,mio,word,pronouns,produces,mío,mío
item_620,mios,word,pronouns,produces,míos,míos
item_621,nosotros,word,pronouns,produces,nosotros,nosotros
item_622,nuestro,word,pronouns,produces,nuestro,nuestro
item_623,se,word,pronouns,produces,se,se
item_624,su,word,pronouns,produces,su,su
item_625,suya,word,pronouns,produces,suya,suya
item_626,suyas,word,pronouns,produces,suyas,suyas
item_627,suyo,word,pronouns,produces,suyo,suyo
item_628,suyos,word,pronouns,produces,suyos,suyos
item_629,te2,word,pronouns,produces,te,te
item_630,tu,word,pronouns,produces,tú,tú
item_631,tuya,word,pronouns,produces,tuya,tuya
item_632,tuyas,word,pronouns,produces,tuyas,tuyas
item_633,tuyo,word,pronouns,produces,tuyo,tuyo
item_634,tuyos,word,pronouns,produces,tuyos,tuyos
item_635,vos,word,pronouns,produces,vos,vos
item_636,yo,word,pronouns,produces,yo,yo
item_637,como,word,question_words,produces,cómo,cómo
item_638,cual,word,question_words,produces,cuál,cuál
item_639,cuando,word,question_words,produces,cuándo,cuándo
item_640,donde,word,question_words,produces,dónde,dónde
item_641,porque,word,question_words,produces,por qué,por qué
item_642,que1,word,question_words,produces,qué,qué
item_643,quien,word,question_words,produces,quién,quién
item_644,a,word,prepositions,produces,a/al,a/al
item_645,con,word,prepositions,produces,con,con
item_646,de,word,prepositions,produces,de/del,de/del
item_647,el2,word,prepositions,produces,el,el
item_648,en,word,prepositions,produces,en,en
item_649,entre,word,prepositions,produces,entre,entre
item_650,la,word,prepositions,produces,la,la
item_651,las,word,prepositions,produces,las,las
item_652,los,word,prepositions,produces,los,los
item_653,para,word,prepositions,produces,para,para
item_654,pero,word,prepositions,produces,pero,pero
item_655,un,word,prepositions,produces,un,un
item_656,una,word,prepositions,produces,una,una
item_657,unas,word,prepositions,produces,unas,unas
item_658,unos,word,prepositions,produces,unos,unos
item_659,asi,word,quantifiers,produces,así,así
item_660,bien,word,quantifiers,produces,bien,bien
item_661,despacio,word,quantifiers,produces,despacio,despacio
item_662,mal,word,quantifiers,produces,mal,mal
item_663,mas,word,quantifiers,produces,más,más
item_664,mucho,word,quantifiers,produces,mucho,mucho
item_665,nada,word,quantifiers,produces,nada,nada
item_666,no,word,quantifiers,produces,no,no
item_667,nohay,word,quantifiers,produces,no hay,no hay
item_668,otravez,word,quantifiers,produces,otro/otra vez,otro/otra vez
item_669,pocquito,word,quantifiers,produces,poco/poquito,poco/poquito
item_670,rapido2,word,quantifiers,produces,rápido,rápido
item_671,si,word,quantifiers,produces,sí (afirmación),sí (afirmación)
item_672,todavia,word,quantifiers,produces,todavía,todavía
item_673,todo,word,quantifiers,produces,todo,todo
item_674,ya,word,quantifiers,produces,ya,ya
item_675,abajo,word,locations,produces,abajo,abajo
item_676,aca,word,locations,produces,acá,acá
item_677,adelante,word,locations,produces,adelante,adelante
item_678,adentro,word,locations,produces,adentro,adentro
item_679,afuera,word,locations,produces,afuera,afuera
item_680,ahi,word,locations,produces,ahí,ahí
item_681,allado,word,locations,produces,al lado,al lado
item_682,alla,word,locations,produces,allá,allá
item_683,aqui,word,locations,produces,aquí,aquí
item_684,arriba,word,locations,produces,arriba,arriba
item_685,atras,word,locations,produces,atrás,atrás
item_686,cerca,word,locations,produces,cerca,cerca
item_687,enfrente,word,locations,produces,enfrente,enfrente
item_688,lejos,word,locations,produces,lejos,lejos
item_689,entonces,word,connecting_words,produces,entonces,entonces
item_690,o,word,connecting_words,produces,o,o
item_691,porque,word,connecting_words,produces,porque,porque
item_692,que,word,connecting_words,produces,que,que
item_693,siteportas,word,connecting_words,produces,si (te portás bien),si (te portás bien)
item_694,sino,word,connecting_words,produces,sino,sino
item_695,tambien,word,connecting_words,produces,también,también
item_696,y,word,connecting_words,produces,y,y
item_697,habpas,usage,how_use_words,not yet; sometimes; often,"¿Su hijo/a habla de las situaciones del pasado? Por ejemplo, si unos días antes fueron al circo y vieron un payaso, ¿lo menciona después?","¿Su hijo/a habla de las situaciones del pasado? Por ejemplo, si unos días antes fueron al circo y vieron un payaso, ¿lo menciona después?"
item_698,habnovel,usage,how_use_words,not yet; sometimes; often,"¿Su hijo/a habla sobre objetos que no están presentes? Por ejemplo, ¿pide un juguete o un una comida preferida, o pregunta por una persona cuando no la puede ver?","¿Su hijo/a habla sobre objetos que no están presentes? Por ejemplo, ¿pide un juguete o un una comida preferida, o pregunta por una persona cuando no la puede ver?"
item_699,usefuture,usage,how_use_words,not yet; sometimes; often,"¿Su hijo/a habla de situaciones que van a pasar en el futuro? Por ejemplo, al ponerse el abrigo, ¿dice que va a ir a las hamacas o le dice a otra persona que va a ver a su abuelita?","¿Su hijo/a habla de situaciones que van a pasar en el futuro? Por ejemplo, al ponerse el abrigo, ¿dice que va a ir a las hamacas o le dice a otra persona que va a ver a su abuelita?"
item_700,misscomp,usage,how_use_words,not yet; sometimes; often,"¿Su hijo/a entiende cuando le piden que traiga algo de otro lugar? Por ejemplo, si le preguntan, “¿dónde está tu pelota?” ¿el niño/a va a buscarla a al lugar donde está?","¿Su hijo/a entiende cuando le piden que traiga algo de otro lugar? Por ejemplo, si le preguntan, “¿dónde está tu pelota?” ¿el niño/a va a buscarla a al lugar donde está?"
item_701,dicenombre,usage,how_use_words,not yet; sometimes; often,"¿Al señalar o agarrar un objeto, tu hijo/a dice el nombre de la persona a la que pertenece ese objeto aunque esa persona no esté presente? Por ejemplo, ¿encuentra los anteojos de su papá y dice “papá”?","¿Al señalar o agarrar un objeto, tu hijo/a dice el nombre de la persona a la que pertenece ese objeto aunque esa persona no esté presente? Por ejemplo, ¿encuentra los anteojos de su papá y dice “papá”?"
item_702,termino,word_forms,word_forms_prese,produces,termino,termino
item_703,terminas,word_forms,word_forms_prese,produces,terminas,terminas
item_704,termina,word_forms,word_forms_prese,produces,termina,termina
item_705,terminamos,word_forms,word_forms_prese,produces,terminamos,terminamos
item_706,acomer,word_forms,word_forms_prese,produces,a comer,a comer
item_707,como,word_forms,word_forms_prese,produces,como,como
item_708,comes,word_forms,word_forms_prese,produces,comes,comes
item_709,come,word_forms,word_forms_prese,produces,come,come
item_710,comemos,word_forms,word_forms_prese,produces,comemos,comemos
item_711,arriba,word_forms,word_forms_prese,produces,arriba,arriba
item_712,subo,word_forms,word_forms_prese,produces,subo,subo
item_713,subis,word_forms,word_forms_prese,produces,subís,subís
item_714,sube,word_forms,word_forms_suced,produces,sube,sube
item_715,sibimos,word_forms,word_forms_suced,produces,sibimos,sibimos
item_716,termine,word_forms,word_forms_suced,produces,terminé,terminé
item_717,termino,word_forms,word_forms_suced,produces,terminó,terminó
item_718,comi,word_forms,word_forms_suced,produces,comí,comí
item_719,comio,word_forms,word_forms_suced,produces,comió,comió
item_720,subi,word_forms,word_forms_orden,produces,subí,subí
item_721,subio,word_forms,word_forms_orden,produces,subió,subió
item_722,termina,word_forms,word_forms_orden,produces,terminá (la leche),terminá (la leche)
item_723,come,word_forms,word_forms_orden,produces,comé (la carne),comé (la carne)
item_724,subí,word_forms,word_forms_orden,produces,subí,subí
item_725,scombine,combine,combine,not yet; sometimes; often,"¿Su hijo/a ya empezó a combinar palabras, como “papá coche” o “más agua”?","¿Su hijo/a ya empezó a combinar palabras, como “papá coche” o “más agua”?"
item_726,combination_example1,combination_examples,combination_examples,,,
item_727,combination_example2,combination_examples,combination_examples,,,
item_728,combination_example3,combination_examples,combination_examples,,,
item_729,cmplx01,complexity,complexity,simple; complex,Nene quiere / Quiero chupetín,Nene quiere / Quiero chupetín
item_730,cmplx02,complexity,complexity,simple; complex,Tuyo esto / Este es tuyo.,Tuyo esto / Este es tuyo.
item_731,cmplx03,complexity,complexity,simple; complex,Nene malo / Soy malo.,Nene malo / Soy malo.
item_732,cmplx04,complexity,complexity,simple; complex,Pablo uvas.* / Quiero uvas.,Pablo uvas.* / Quiero uvas.
item_733,cmplx05,complexity,complexity,simple; complex,Agua vamos. / Vamos al agua,Agua vamos. / Vamos al agua
item_734,cmplx06,complexity,complexity,simple; complex,A silla / En la silla,A silla / En la silla
item_735,cmplx07,complexity,complexity,simple; complex,Pollo no / No quiero pollo,Pollo no / No quiero pollo
item_736,cmplx08,complexity,complexity,simple; complex,Llorando María.* / María esta llorando,Llorando María.* / María esta llorando
item_737,cmplx09,complexity,complexity,simple; complex,Mío lápiz. / Este es mi lapiz,Mío lápiz. / Este es mi lapiz
item_738,cmplx10,complexity,complexity,simple; complex,Mas leche / Dame más leche.,Mas leche / Dame más leche.
item_739,cmplx11,complexity,complexity,simple; complex,Papo mami / El zapato es de mami,Papo mami / El zapato es de mami
item_740,cmplx12,complexity,complexity,simple; complex,No acá / Ese no está acá,No acá / Ese no está acá
item_741,cmplx13,complexity,complexity,simple; complex,Rompió globo / Se rompió el globo.,Rompió globo / Se rompió el globo.
item_742,cmplx14,complexity,complexity,simple; complex,Leche quema / La leche está caliente,Leche quema / La leche está caliente
item_743,cmplx15,complexity,complexity,simple; complex,Duele panza / Me duele la panza,Duele panza / Me duele la panza
item_744,cmplx16,complexity,complexity,simple; complex,Guau-guau grande. / Tengo un perro grande,Guau-guau grande. / Tengo un perro grande
item_745,cmplx17,complexity,complexity,simple; complex,Calle allá esta / Allá esta la calle,Calle allá esta / Allá esta la calle
item_746,cmplx18,complexity,complexity,simple; complex,Puse a mano / Lo puse en mi mano,Puse a mano / Lo puse en mi mano
item_747,cmplx19,complexity,complexity,simple; complex,Acabó agua / Se me acabó el agua,Acabó agua / Se me acabó el agua
item_748,cmplx20,complexity,complexity,simple; complex,Fue casa / Se fue a casa.,Fue casa / Se fue a casa.
item_749,cmplx21,complexity,complexity,simple; complex,Silla subir / Me quiero subir a la silla,Silla subir / Me quiero subir a la silla
item_750,cmplx22,complexity,complexity,simple; complex,María papá.* / Quiero ir con papá,María papá.* / Quiero ir con papá
item_751,cmplx23,complexity,complexity,simple; complex,Bravo Pablo circo.* / Dije bravo en el circo,Bravo Pablo circo.* / Dije bravo en el circo
item_752,cmplx24,complexity,complexity,simple; complex,Papá calle / Papá se fué a trabajar,Papá calle / Papá se fué a trabajar
item_753,cmplx25,complexity,complexity,simple; complex,Ya puse. / Ya se lo puse,Ya puse. / Ya se lo puse
item_754,cmplx26,complexity,complexity,simple; complex,Manu osito coche.* / Manu dejó el osito en el coche,Manu osito coche.* / Manu dejó el osito en el coche
item_755,cmplx27,complexity,complexity,simple; complex,Lapiz dibujar / DIbujo con el lápiz,Lapiz dibujar / DIbujo con el lápiz
item_756,cmplx28,complexity,complexity,simple; complex,Ya pinté / Ya terminé de pintar,Ya pinté / Ya terminé de pintar
item_757,cmplx29,complexity,complexity,simple; complex,nene rompió bici Danny \ el nene rompió la bici de Danny,nene rompió bici Danny \ el nene rompió la bici de Danny
item_758,cmplx30,complexity,complexity,simple; complex,Pone no. / No lo pongas,Pone no. / No lo pongas
item_759,cmplx31,complexity,complexity,simple; complex,Vamos comer papas carne \ vamos a comer papas y carne,Vamos comer papas carne \ vamos a comer papas y carne
item_760,cmplx32,complexity,complexity,simple; complex,Nene llora cayó / El nene llora porque se cayó.,Nene llora cayó / El nene llora porque se cayó.
item_761,cmplx33,complexity,complexity,simple; complex,Mamá nene compra / Mamá y el nene fueron a comprar,Mamá nene compra / Mamá y el nene fueron a comprar
item_762,cmplx34,complexity,complexity,simple; complex,Abrí dame galletita / Abría la caja y dame una galletita,Abrí dame galletita / Abría la caja y dame una galletita
item_763,cmplx35,complexity,complexity,simple; complex,"No toca, quemás / No lo toqués porque te quemás.","No toca, quemás / No lo toqués porque te quemás."
item_764,cmplx36,complexity,complexity,simple; complex,Quiero libro papá / Quiero el libro que compró papá,Quiero libro papá / Quiero el libro que compró papá
item_765,cmplx37,complexity,complexity,simple; complex,Pongo agua flores / pongo agua para que crezcan las flores.,Pongo agua flores / pongo agua para que crezcan las flores.
